序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
78	1	86	2	吕布：奇怪，我记得我在洛阳郊外驻军，正要去营救天子，怎么就出现在这里，还被你们绑了起来。	-5	2	刘备：哎呀，帅锅，是酱紫的，之前你被张角下了迷魂药，在山里走丢了，昏倒在树下，是我救了你...你看，你还记得我么？我就是小倩啊， 嘻嘻……	-9	2	诸葛亮：切....花痴也不是这样没水平吧	-1	1	玩家：奉先兄弟，之前你被张角邪术所迷，与朝廷为敌。现在邪术已除，你已做回自己了。何不与我们一起，诛灭张角，匡扶汉室？	86	2	吕布：甚好，这正是末将职责所在！							
79	0	-9	2	诸葛亮：这下惨了，传国玉玺定是被张角派人给盗走的！	-1	1	玩家：不如我们现在派兵去追回来，说不定还来的及	-9	2	诸葛亮：也好，只是张角一定有大军接应，我们要小心应对。													
80	0	90002	1	A将：主公，探子回报，张角已拿到传国玉玺，并称自己是君命天授，准备在洛阳举行登基大典了！	-1	1	玩家：怎么这帮古代人都这么喜欢当皇帝？没看历史书上写的皇帝都是精尽人亡的下场么？	-9	2	诸葛亮：我倒觉得称帝可能只是个幌子罢了。	-1	1	玩家：诸葛亮何出此言？	-9	2	诸葛亮：主公打完此仗我们再详谈不迟。							
81	0	90014	2	黄巾：我乃天公将军麾下神威骑，知我们威名的就赶紧下马受降，不然休怪我不给尔等留个全尸！	-9	2	诸葛亮：主公你看，张角要称帝，其精锐不用来保护都城，却远道而来对付我们？这是为何？	-1	1	玩家：可能是觉得我们这边兵多将广，所以必须除掉我们？	-9	2	诸葛亮：非也，消灭了这群神威骑，你自然知道。	-1	1	玩家：诸葛亮，你是开启装逼模式了么？							
82	1	-9	2	诸葛亮：主公你看，这是从这些神威骑身上搜出的密令，张角要他们不惜一切组织我们夺回传国玉玺	-1	1	玩家：看来张角是怕我们拿走玉玺他无法称帝了？	-9	2	诸葛亮：不，称帝很可能只是个幌子，张角老谋深算，不应该匆忙称帝，一定是想要转移我们的视线。	-1	1	玩家：我去，他到底想要干啥呢?										
83	0	94	2	司马懿：天公将军不日在洛阳继位，尔等何苦还要做无谓的挣扎？	-1	1	玩家：司马懿！我去啊，这下玩大了，司马懿都变成张角部将了，看来我的推测没错，时间线因为穿越影响，已经完全变了。	-9	2	诸葛亮：主公，你也感觉到了？看来我们猜测应该是完全成真了。	-1	1	玩家：唉，既然已经这样我们只能拼了，这么多美女，我可不想屎…										
84	0	-9	2	诸葛亮：张角这次明显是把精锐全都派出来对付我们了。玉玺恐怕以我们一己之力难以保护好啊	-1	1	玩家：看来玉玺一定还有我们不知道的力量，指不定能召唤出绿巨人、钢铁侠	-5	2	刘备：亲们，不好了，黄巾军主动攻过来了！													
85	0	90014	2	黄巾：我天公将军已在神都洛阳继位登基了！尔等不顺天命，还与天子为敌！若现在下马受降，可免诛九族！	-1	1	玩家：我去，这张角动作也真够快的啊。	-9	2	诸葛亮：主公别急，我打探到张角其实不在洛阳，我们可如此……	-1	1	玩家：哈哈，真不愧是诸葛亮。对面的黄巾听着，你爷爷这就来送你们归西了！										
86	1	-9	2	诸葛亮：主公，张角虽然是假称帝，但必与天下诸侯为敌了。我们可以广结联盟，共讨张角。	-1	1	玩家：对啊，三国史上还有几个大家伙没请出山呢。	-9	2	诸葛亮：北联曹操，东结孙吴。													
87	0	-1	1	玩家：这才没走多远，就遇上黄巾军了，四位美人，不不不，四位猛将兄？谁领兵先上啊？	-7	2	张飞：我从一开始就跟随主公，自然我先来！	-8	2	张辽：就你来的早？我们都是一个电梯里挤过来的好不？	-6	2	夏侯惇：对啊，还一个展台上当麻豆呢...	-9	2	诸葛亮：（暗自)真是群绿茶婊...							
88	0	-9	2	诸葛亮：东吴孙氏，世据江东，张角必视其为心腹大患，定会大量陈兵于边界之处。	-8	2	张辽：怕什么？我们穿越过来，哪个人身上没有一两个牛逼的技能？	-1	1	玩家：各位美女不可轻敌啊，万一不小心毁容了呢？													
89	0	108	2	太史慈：站住，天公将军有令，任何人不得前往东吴，违者立斩。	-9	2	诸葛亮：这位小哥，你看我们几个弱女子只是想过去买点酱油回来而已，通融通融嘛，要不晚上来寒舍谈谈人生？	108	2	太史慈：这个.......不好，有埋伏！	-1	1	玩家：哈哈，美人计果然好使，太史慈虽然勇猛，可智力还是不行啊，姐妹们给我杀！										
90	1	108	2	太史慈：使如此诡计胜我，算什么英雄好汉！	-1	1	玩家：我可没说我是英雄好汉啊，我是人贱人爱，花贱花开，你只要告诉我去江东路上还有多少你们的人马，我就放了你。	108	2	太史慈：要杀要剐悉听尊便....只是，可以分我一个妹子么？	-1	1	玩家：我去．．．．比我还没节操！										
91	0	-1	1	玩家：张角果然是不放心孙权，那小子说这一路的关口都是精兵把守，各位妹纸，你们怎么看?	-7	2	张飞：我一路杀到现在，有什么好怕的？我只关心江东帅锅多不多	-6	2	夏侯惇：据说东吴出美男子啊，比如周瑜，嘻嘻……	-1	1	玩家：什么品味啊...既然那么想去东吴，这后面的黄巾军就交给你们了。										
92	0	-1	1	玩家：唉，一路砍人到现在，连个女盆友都木有，那些书上写的英雄美女的剧情，我怎么都没赶上呢...真是悲催	-6	2	夏侯惇：可不嘛，我们几个过来也一直单身啊。	-9	2	诸葛亮：难不成你们还想找个古代人谈朋友不成？	-1	1	玩家：不找古代人，就只有找我咯...嘿嘿，妥妥的	-7	2	张飞：你个色狼，这关你去打头阵吧！							
93	0	112	2	吕蒙：站住，你们想就这样走到东吴去么？我已经把江夏所有的渡船都锁上了，不过我的大刀倒是可以让你们变成水鬼，从江里游过去，哈哈！	-8	2	张辽：好狂的口气！可知你张辽奶奶也用的是长刀么？	-1	1	玩家：妹子小心啊，刀剑无眼，不要伤着脸了。	-7	2	张飞：靠，人家打了这么久也没见你关心过！	-1	1	玩家：哎呀，我对每个人都很关心啦。							
94	1	-8	2	张辽：搞定了，船都锁在岸边的，我们找几条船，这就准备过江吧																			
95	0	105	2	孙权：接到孟德兄飞鸽传书，说你们来要，准备不周，有失远迎啊。	-1	1	玩家：客气了，话说我们刚才在江边看到人去屋空的村落还有好多尸魔，是怎么回事啊？	105	2	孙权：巾军派出一群术士，沿江释放瘟疫，百姓染疫后大多不治而暴毙。有的还成了尸魔，到处吃人。不论是军营还是民间，现在都人心惶惶。	-9	2	诸葛亮：孙将军勿忧，我们有对付黄巾术士的经验，这些作恶多端的家伙，就交给我们吧！										
96	0	-6	2	夏侯惇：这个瘟疫，你们说，为何三国时代黄巾就搞起了生物武器了呢？	-9	2	诸葛亮：这有什么好奇怪的，在西方人眼里，我们的火药还不是神话传说一样的东东	-1	1	玩家：对付这帮黄巾术士还是要小心点，指不定又有什么幺蛾子呢？													
97	0	-1	1	玩家：你们这群畜生，释放瘟疫，涂毒百姓，把活人变成妖魔，你们的良心，大大的坏啦！	-6	2	夏侯惇：大哥，你怎么日语都冒出来了？！	90014	2	黄巾：天下那么大，死几个人算什么？天公将军是要成大事之人，别说死几个臭泥腿子，就是把你们剁碎泡酒，也算不得什么!	-6	2	夏侯惇：那我倒要看看最后是谁被泡在酒坛里了！										
98	1	-1	1	玩家：你们这帮逗比，以为自己会放点病毒就牛逼的不得了。哥就是杀毒软件，专治各种不服！	90014	2	黄巾：将军饶命啊，小的也只是奉命行事，不知将军威名，多有得罪啊。	-9	2	诸葛亮：要想活命，就老实交代，你们在江东还有多少人马？都在什么地方？													
99	0	-9	2	诸葛亮：主公，我们现在消灭的只是他们派到江东的小分队而已，他们在江东的大本营不铲除的话，我担心瘟疫还会扩散，尸魔会越来越多	-7	2	张飞：说实话，人家最怕看鬼片了，这些尸魔晚上会不会爬到我床上来啊？	-1	1	玩家：不用怕，要不你晚上到我帐里来？	-9	2	诸葛亮：咳咳，主公，我跟你说正事儿呢...										
100	0	-9	2	诸葛亮：主公，那几个术士交代说这里就是他们的江东大本营了	-1	1	玩家：好极了，现在就杀进去，解除江东的生化危机吧！	-1	1	玩家：唉？怎么没有人呢？？？？	104	2	贾诩：哈哈，终于来了鄙人号称毒士，刚刚我想你们已经领教我毒尸的厉害了吧，哈哈，小的门来客人了接客了。	-1	1	玩家：贾诩，草泥马！中埋伏了！这个大爷居然这么变态！！							
101	1	-1	1	玩家：好险啊，差点要了我的小命！	-6	2	夏侯惇：要不是我和张辽在外头侧应你，你今天怕是也要变成尸魔了吧。	-1	1	玩家：列位姑娘对我恩重如山，小爷我今晚只有以身相许了，但是我去谁的帐里都是对其他人的不公，不如你们一起来吧！	-1	1	玩家：.......哎呀，姑娘们手下留情，不要打脸啊										
102	0	-1	1	玩家：玄德居然....就这么没了？天啊，这次穿越怎么和我看过的所有的穿越都不一样啊，这，这太可怕了！	105	2	孙权：事已至此，节哀顺变，只是当务之急是接回蔡文姬，拿到密信，找出失利的原因，才能对付黄巾乱党啊。	-1	1	玩家：我这就出发，杀光黄巾逆贼，为玄德报仇雪恨！													
103	0	41	2	魏延：来的正好，我等奉天公将军之命来此取你们的首级！	-1	1	玩家：魏延！好一个张角啊，各位妹子，我们一起穿越而来，今天痛失玄德，当用这些黄巾的人头为玄德血祭！	-7	2	张飞：可恶的黄巾反贼们，拿命来偿吧！													
104	0	-4	2	蔡文姬：你们可是孙将军那边的人？	-1	1	玩家：是啊....也，居然是你！那天我们在同一个电梯里的！	-4	2	蔡文姬：唉？真巧啊，不过此时不宜叙旧，黄巾的追兵一路追杀我，马上就要到了！	-1	1	玩家：不用担心，这些家伙，我们正要除之而后快呢！										
105	1	-1	1	玩家：妹子，说你有封孟德的密信要给我们是么？	-4	2	蔡文姬：正是，你看下吧	-1	1	玩家：（拿过信）天啊，原来传国玉玺中藏有巨大的能量可以改变物质的属性，曹操他们战败被杀，就是因为张角用这种能量打造了一支无敌军团！	-9	2	诸葛亮：果然张角是以称帝为幌子，背地里开启了传国玉玺。	-1	1	玩家：这下，玩儿大了！							
106	0	90002	1	A将：主公，不好了，又有黄巾军杀来，这次感觉他们个个骁勇无比，刀枪不入啊！	-1	1	玩家：莫非又是僵尸军团？	-4	2	蔡文姬：张角邪术太厉害，我们还是且战且退，和孙将军他们合拢一处再做打算吧。													
107	0	83	2	庞统：吾来凤雏庞统，你们听着，识趣的现在就把蔡文姬交出来，还能给你们留个全尸！	90002	1	A将：主公小心，这些人都异于常人，不惧刀剑啊。	-9	2	诸葛亮：主公小心，不可恋战，刷掉敌军与孙权合军一道再来退敌也不迟。													
108	1	83	2	庞统：今日侥幸让你们逃了，在我们无敌天军面前，你们就只能当个缩头乌龟，哈哈！	-1	1	玩家：可恶的张角，一天到晚搞些黑魔法出来!泥马这是点错技能树了么？？？	90002	1	A将：主公，韩信能忍胯下之辱，大丈夫不惧一时之得失。	-1	1	玩家：等我和孙权会师，一定要把这些扛着保护罩的家伙给一个个的敲碎了！										
109	0	50	2	孟获：列位，正面对抗张角无敌军团的任务就放心交给本王了。你们只管直插他的大营，只要夺回传国玉玺，他的邪术就难以奏效了！	-1	1	玩家：想不到孟获大王居然成了我们的好帮手，真是一入穿越深似海，从此三观是路人啊。	-9	2	诸葛亮：虽有孟获的巫法相助，主公也不可大意，张角毕竟是天下第一术士，孟获能否抵挡得住还是未知。	-1	1	玩家：不管了，死马当活马，我们即刻出战吧！										
110	0	-1	1	玩家：天那噜，这帮黄巾真的是太难对付了，战斗力怎么这么强？？？	50	2	孟获：将军不必担心，这路上的黄巾主力交给我，你去收拾那几支小股部队即刻。	-1	1	玩家：多亏有你相助了，不然我怕是搞不定这些打了鸡血一样的黄巾军。													
111	0	60	2	典韦：这里怎么会有江东的军队？一定是来偷袭我大营的！我们得阻截他们然后禀报天公将军！	-9	2	诸葛亮：主公，这支部队好像要回撤去报信，我们不能放跑一个，不然他们给张角报信的话，我们就麻烦大了	-1	1	玩家：众将听令，杀无赦！													
112	1	60	2	典韦：就算你们赢了我，你们也大势已去。曹操，董卓，刘备都成了我黄巾的刀下之鬼，你们又能撑的了几天！	-1	1	玩家：来人，把这个王八蛋给我推出去砍了！不，剐了！谁他妈叫你在我面前提刘备的事儿！我正愁没有人头祭拜她呢！	-9	2	诸葛亮：主公，我们还是赶紧偷袭张角大营吧，这路上时间紧。													
113	0	90002	1	A将：主公，孟获派人传来书信说张角军队之强大超乎意料，他手下有几员大将因轻敌而阵亡，他的损失很大，望我们能加快速度，他能支撑的时间也不多了。	-9	2	诸葛亮：主公，看来我们得快速强攻，一路上不必恋战，以杀将闯关为首要目标。	-1	1	玩家：好，大家加快速度，随我杀敌！													
114	0	90002	1	A将：主公，孟获又派人送来十万火急的信件，说他和孙权都已经快撑不住了，张角攻势凌厉，他们正在撤退中。	-1	1	玩家：完了，一旦孟获顶不住，我们这边又被张角发现的话，我们所有人就要被张角包围住了！妈呀，我可不想死在这里...	-9	2	诸葛亮：赶紧抢了传国玉玺不就OK了么？	-6	2	夏侯惇：是啊，大老爷们哭什么鼻子，咱们杀敌吧！										
115	0	88	2	张角：你们这些反贼，竟然擅闯朕的大营，今天我就要你们碎尸万段不可	-1	1	玩家：张角，你给我听着，你这个渣渣，在老子那个时代，你在历史书上连一页的篇幅都没有，不要以为现在仗着点妖术，就牛逼了，我今天就是来把你打回原形的！	-9	2	诸葛亮：哇塞，主公，你好man哦...	-6	2	夏侯惇：主公纯爷们，铁血真汉子...										
116	1	-1	1	玩家：张角，这传国玉玺是神器，你这种精神不正常人品又差的，不配拥有！	88	2	张角：你个小兔崽子，给爷放手！	-9	2	诸葛亮：主公别放手，我来帮你抢！	88	2	张角：你们几个，别逼我啊...;.										
117	0	88	2	张角：这是什么鬼地方？怎么这里的人都穿的奇装异服？	-1	1	玩家：蠢猪，这是1800多年后！我要把你抓起来关进动物园里，给大家参观参观！	88	2	张角：哼哼，就凭你？你也太小看我的能耐了！众将听令！													
118	0	-1	1	玩家：这个张角是什么鬼？没有了传国玉玺怎么还有这么厉害的法术？	-9	2	诸葛亮：我担心他会用邪术伤害这里的群众，万一我们的亲朋好友也在上海就麻烦了。	-1	1	玩家：我来迎敌，你赶紧想办法！													
119	0	-9	2	诸葛亮：主公，我可以设法再次重启传国玉玺的能量，把我们送回三国去，这样就可以避免这里无辜百姓受到张角的伤害了。	-6	2	夏侯惇：干脆叫警察一枪毙了张角算了，我们也还省事。	-9	2	诸葛亮：不可，张角的邪术高深莫测，现代武器未必能伤他，到头来激怒他祸害这里的百姓，那后果更严重了。	-1	1	玩家：好吧，我想吸引他的注意力，诸葛亮负责研究下传国玉玺的机关。										
120	1	88	2	张角：我手下兵多将广，有的是人马，看你怎么对付的了！	-1	1	玩家：我今天就要在这里和你决出生死！哪怕我只剩一兵一卒，也誓不罢休。	88	2	张角：哼哼，年轻人，太狂了点吧。													
121	0	-1	1	玩家：诸葛亮，现在什么情况？	-9	2	诸葛亮：主公，我读书少，这个真有点难啊。	-1	1	玩家：大姐，你别逗我，能快点好么，哥哥我可是在前面拼命啊！	-6	2	夏侯惇：主公，快点，黄巾军又来叫阵了！										
122	1	-1	1	玩家：诸葛亮，快点啊，哥快累死了。	-9	2	诸葛亮：别急，别急，我这个就快了，只是还需要知道开启机关的位置，翻译一下暗藏符文的意思，找对符文的正确排列顺序，然后再想办法激活一下内藏的符印.....反正再有几个钟头就差不多了。	-1	1	玩家：你妹！诸葛亮坑我啊。													
123	0	88	2	张角：怎么样，臭小子，你还有什么本事？	-1	1	玩家：哥的本事多的很，其中一项本事就叫：取你狗命！	88	2	张角：别说梦话了，不管我身处何地，我始终是天下第一术士，你能奈我何？	-1	1	玩家：少说大话，弟兄人，冲啊										
124	0	-1	1	玩家：诸葛亮，你再搞不好的话，我可就顶不住了！	-9	2	诸葛亮：主公放心，很快了，只需再给我半个钟头，我一定能让时空再倒转回三国的赤壁！	-1	1	玩家：Are you sure？	-6	2	夏侯惇：快拿家伙，张角又带人杀过来了！										
125	1	88	2	张角：怎么突然天就黑了？还电闪雷鸣的？	-1	1	玩家：哈哈，我们也能掌控传国玉玺了，张角，你颤抖吧！	-9	2	诸葛亮：主公，时空之门又要开启了，大家小心点！	88	2	张角：怎，怎么可能！										
126	0	-1	1	玩家：这时空穿越搞的我都要吐了，诸葛亮啊，下次可以不要头先着地么？	-9	2	诸葛亮：主公，我已经尽力了，我也快吐了....	88	2	张角：你们几个，吐够了没有？吐够了就赶紧起来打。													
127	1	-9	2	诸葛亮：主公，我明显感觉到这次穿越回来，张角的邪术已经不起作用了！	-1	1	玩家：是啊，之前有的小兵怎么砍也砍不动，现在居然一刀成了两截。	-9	2	诸葛亮：决战的时机已经到了，我们当趁热打铁，一举铲除张角。													
128	0	-1	1	玩家：我感觉这应该是最后一战了，我们集结全部人马，一鼓作气，诛杀张角！	-7	2	张飞：这种历史性的时刻，肯定少不了我张飞啊！	-6	2	夏侯惇：我身材好，上镜好看，让我当先锋吧	-9	2	诸葛亮：人家还没打过头阵，也想试试。	-8	2	张辽：主公，我还有我呢，别忘了我啊！	-1	1	玩家：也好，那就来个四大美人战张角吧！				
129	0	88	2	张角：就算没了神法护体，我手下还有战将无数，你们也终究难逃一劫。	-9	2	诸葛亮：拼法术，我虽然一时赢不了你，但是比智商，我可是从小到大都是三好学生+班干部+课代表+学习文员+全额奖学金！哼哼	-7	2	张飞：诸葛亮姐，关键时刻，能不这么逗比么？张角这种一千多年前来的土包子能听得懂你说的么？	88	2	张角：谁去把这几个长舌妇给我抓来？！！										
130	0	-9	2	诸葛亮：主公，孙权、孟获的部队正在赶来的路上，我们只要能拖住张角，就可以包围他，一举消灭这个恶棍！	-1	1	玩家：好极了，我想办法激怒张角，让他把部队全派出来对付我们，这样援军一到，就可以从背后杀他个措手不及了。	-9	2	诸葛亮：主公此计甚妙，只是有点阴哦，嘻嘻……	-1	1	玩家：量小非君子无毒不丈夫嘛：p										
131	1	88	2	张角：邪门了，居然连输几场，还被你这个臭小子，斩了我三员大将！	-1	1	玩家：你本来就不行，打仗全靠开挂作弊，靠点下三滥的小法术，使点阴招来取胜。要说真刀真枪来干，你还比过我们这里随便一个无名小卒呢！	88	2	张角：黄口孺子，休要猖狂！													
132	0	-7	2	张飞：张角老鬼，你自己不出来应战，尽派些替死鬼出来，姑奶奶我真是不痛快！	-6	2	夏侯惇：缩头乌龟一样，还吹什么天下第一术士，我呸呸呸！	90014	2	黄巾：大胆妖妇，居然敢辱我天公将军威名！先吃我一刀再说！	-8	2	张辽：那就看看咱两的刀，到底谁更快了！										
133	0	-7	2	张飞：没想到这一穿越，整个三国的历史都改写，我们几个妹子倒是拿下了不少人头。	-6	2	夏侯惇：以前看到杀鸡都要晕，如今杀人都不眨眼，我发起狂来真的是自己都怕呢。	-9	2	诸葛亮：那咱们姐妹几个就要赌一把，看看张角死谁手里！	-8	2	张辽：赌什么？谁赢了就先把主公推到么？要是这样，我先战一阵啦，哈哈！										
134	0	90002	1	A将：主公，孙权将军和孟获大王的队伍已经到营外十里了，他们还差快马送信过来，都说要亲手斩了张角，以解心头之恨。	-9	2	诸葛亮：那可不行，这种历史性的时刻，肯定是我们自己来搞定的，要不然怎么名垂史册？	-6	2	夏侯惇：对啊，老娘就可以干翻张角了。	-7	2	张飞：那还废话什么，赶紧去砍人吧！										
135	0	-1	1	玩家：张角，你四周全是我们的人马，你已经插翅难飞了！我手下四大美女，啊，不不不，四员大将，会赏你一个痛快的！	88	2	张角：我还有数万精兵在手，就算你围住我，我也能杀你个片甲不留！	-6	2	夏侯惇：主公，这老头死到临头还这么嘴硬，让我去收拾他吧！	-9	2	诸葛亮：胜负成败，在此一举，不过大家还是不可大意，张角困兽犹斗，要千万小心！	-7	2	张飞：哈哈，杀张角，随我来吧！							
136	1	-1	1	玩家：没想到一代魔头张角居然死在了我们的手里！他的人头呢？	-7	2	张飞：已经砍下来示众了，从此天下应该太平了！	-9	2	诸葛亮：那可未必，天下大势分久必合合久必分，没了张角，也还有别人想要称王称帝啊。	-1	1	玩家：诸葛亮，传国玉玺能让我们穿越回去么？我想，我们的使命是不是到这里就完成了.....										
137	0	-12	2	神秘人：轮回之门突然逆转，次序法制破灭，魔神名将将再一次重生，你们的实世界已被完全禁锢，找到隐藏在三国的最终魔王，才能拯救这个世界.	-1	1	玩家：尼玛，这是在逗我？说好的三国怎么变魔幻了？	-12	2	神秘人：没时间解释了，护盾即将解除，敌人马上复苏，你们好自为之.往东走，西川有你们需要的东西…	85	2	董卓：哎哟，我的腰啊，谁TM这么不长眼啊，大爷我刚搭好的草屋就被砸踏啦，来人啊，赶快把这群人拉下去砍了。	-1	1	玩家：我靠，玩大了，落到董胖子地盘了？							
138	0	-1	1	玩家：哎哟，那个神秘老头也太损了，这么把我们丢到董胖子的地盘来了，差一点就被董胖子给弄洗白了。	-7	2	张飞：主公，董卓手下太猛了，战斗力完全爆表啊，哎呀，这么凶残叫奴家这么打，他们又追上来啦。	104	2	贾诩：前方逃跑的敌将听着，我乃毒士贾诩，你们不要做无谓的抵抗了，快快下马受降。	-1	1	玩家：哈哈哈，逃命要紧嘛，你们没看见董胖子追得那么捉急莫。										
139	0	-1	1	玩家：孔明，你知道西川这么去吗？神秘人说西川有我们想找的东西。	90002	1	A将：主公，若去西川的话末将可以领路，我娘舅就是西川的，而且刘璋最宠的文臣就是我舅舅张松。	-9	2	孔明：西川天险，若没一个信得过的人带路还是真不行，还好我们有可爱的A将小弟。	-7	2	张飞：就是就是，那我们赶紧走吧，免得一会董胖子又追来了。										
140	0	90002	1	A将：主公，据投降敌兵交代，前方不远处发现宝库，里面发现大量珠宝，但有董卓手下猛将高顺守卫。	-1	1	玩家：纳尼，财宝?居然有这等好事。	90002	1	A将：是的，大部分财宝已被运走，还剩余一小部分，所以看守人并不多	-7	2	张飞：那还废话什么，赶紧把人砍了，拿钱走人啊。										
141	0	57	2	高顺：前方何人，此处乃宝库重地，闲杂人等赶紧闪开，否则别怪某手中长剑不留情面。	-1	1	玩家：高顺将军，要不你来我方部队，珠宝、美女随便挑。	57	2	高顺：无知狂徒，你家高将军岂是见异思迁之人，还不快速速下马受降。													
142	0	-1	1	玩家：唉，高将军乃当世名将，却因跟错了主公才落得这般下场。	57	2	高顺：大丈夫堂堂七尺男儿，要杀便杀，何须废话。	-1	1	玩家：放了高将军他吧!我和高将军并没什么深仇大恨，古人云，和气生财嘛。	57	2	高顺：就算尔等放了高某，高某也不会感激，它日相遇必将重分高下。										
143	0	85	2	董卓：哪里来的野小子，也想诱骗我爱将，前些日子砸我茅屋的事还没算清楚，现在又来抢夺我的珠宝。	90002	1	A将：主公，不好啦，我们被包围啦。	-9	2	孔明：还好主公英明，料定了董卓必来堵截抢夺财物，我已吩咐张飞妹纸带着珠宝先行一步。	-1	1	主公：我们多拖延下时间，免得逃跑时，让他们追上了运输珠宝的队伍。										
144	1	-1	1	玩家：董胖子，你好好检查下你抢夺的财宝箱子呢，会有惊喜哦！	85	2	董卓：打开宝箱，让吾好好看看。	104	2	贾诩：主公，不好了，宝箱里面珠宝全部不见了，这些的宝箱都是装的石头。													
145	0	-1	1	玩家：前方就是西川了，大家小心点，这一路总有被猎物窥视的感觉，心里阵阵发凉。	50	2	孟获：哈哈哈，等你们很久了，来吧，让我见识一下被选中的天命之子到底有什么能耐。	-9	2	孔明：不好，我们已经被包围了，看来今天又要上演一场火烧藤甲兵的好戏，大家用火攻，对方怕火。													
146	0	41	2	魏延：我魏文长来也，孟获小儿不可伤了我家主公贵客。	50	2	孟获：刘璋小儿也想淌这摊浑水？我劝你们最好掂量掂量自己的实力。	41	2	魏延：废话少说，看刀。	90002	1	A将：还好赶上了，主公，还好孔明小姐，让我快马加鞭，早一步赶到了成都。										
147	0	-1	1	玩家：哈哈，文长将军果然名不虚传，真是风流倜傥、神功盖世啊，居然把孟获大军打得大败。	41	2	魏延：将军客气，奉我叫主公刘璋之命，前来接应将军。	-10	2	祝融：哎哟，我当是谁呢，这不是大名鼎鼎的魏文长将军吗？你打伤我家蛮王意欲何为呢？	-7	2	张飞：还哎哟，我呸，一看你就是狐狸精，要战就战，还卖什么骚。										
148	0	-1	1	玩家：这么漂亮的妹纸，怎么就成了孟获那个丑八怪的媳妇呢。	-9	2	孔明：到现在了你还有心思想这个，看张飞妹纸和文长将军2个人一起居然只能和这祝融打成平手。	-9	2	孔明：主公，我们还是且战且退吧，此处不宜久留。													
149	0	55	2	陈宫：来了就不要走了，我手下2员大将居然都不能将天命之子请动，看来是有点手段。	-1	1	玩家：陈宫？三国里面为数不多顶级谋士之一，这下麻烦了。	-7	2	张飞：怕什么怕，一个文弱书生而已，还能把姑奶奶这么着。													
150	0	-9	2	孔明：不好，张飞妹纸有危险。	-9	2	孔明：陈宫，别欺人太甚，让我诸葛孔明来陪你玩一玩，张飞妹纸回来。	55	2	陈宫：哈哈，陈某久仰卧龙之名，今日得见果然非同一般。	-7	2	张飞：孔明姐姐小心，它应该会使用邪恶妖法。										
151	0	55	2	陈宫：孔明不愧是孔明，果然有些手段，看来我不拿点实力出来，今天还真没办法带着天命之子了。	-1	1	玩家：JJWW的没完没了，要打便打。	-1	1	玩家：哎哟，救命啊，你要打去和他们打，哪有直接攻击主将的，孔明救救我。													
152	0	55	2	陈宫：孟获、祝融启用魔化合体，召唤魔神残念，将他们一并魔杀。	-1	1	玩家：..变形金刚？还能合体？能双修不呢？	-9	2	孔明：主公，我有种不好的预感，我能感受到周围的植物正在快速衰亡，死亡之气越来越重。	-7	2	张飞：孔明姐姐，别吓人，人家最怕这些了…										
153	1	55	2	陈宫：不，不可能…魔神残念这么会被消亡，我一定是看花眼了。	-1	1	玩家：哎哟，哎哟，我头好痛，我靠，为什么我衣服破了？	-7	2	张飞：哇，主公，你好帅，刚刚简直是天神下凡啊，那个什么狗屁魔神几下就被你KO了，太酷了。	-1	1	玩家：我？怎么可能，上次穿越就没这能力，这次新出现的?难度我和玄幻小说主角一样，拥有主角光辉了？	-9	2	孔明：主公这个事情我们稍后再说，我们还是先去成都在慢慢详谈吧，这里太过危险。							
154	0	33	2	刘璋：将军真要去古阵祭坛？可知道有许多勇士前去探索，至此均无一人生还。	-1	1	玩家：没办法不去，这次西川之行的目的就是为了寻找答案而来。	-1	1	玩家：而按照你们所描述的古阵祭坛出现情况，应该和轮回门逆转有关系。	-9	2	孔明：主公，说得对，古阵祭坛就是第一条线索。										
155	0	-1	1	玩家：孔明妹纸，这里面建筑格局这么感觉像一种阵法，而阵法下面总感觉压制着什么。	-9	2	孔明：这就是一座大型的八卦阵，而且阵中夹杂着一些我都看不懂的阵法。	-1	1	玩家：我去，居然还是诸葛孔明看不懂的阵法，按理说不应该在这个时代出现。	-7	2	张飞：不好，感觉周围有什么东西正在向我们靠近。										
156	0	83	2	庞统：几千年了，我已经整整被困在这里几千年，终于等到你了---天命之子。	-1	1	玩家：几千年?几千人早就应该是现代了，这么可能还在三国呢？	83	2	庞统：此事说来话长，我们能够出去我在和你们详谈，现在你们还是先想办法解决下眼前的危机吧。	61	2	许褚：哈哈哈，千年等待，终于只差一步，天命之子拿命来。										
157	0	83	2	庞统：啧啧啧，你们以为战胜许褚就完了吗？庞统那个迂腐的老顽固，以为真的能把我给击杀掉，哈哈哈他那里知道我就是他，他也就是我。	83	2	庞统：若当初他早些听从魔将的教导，怎么可能会被困在这里三千年。	-9	2	孔明：大家小心，这个庞统应该被魔化了，已不是刚刚看见那个人了。	-7	2	张飞：魔化过后的庞统好帅啊…我都有些小激动想上去勾搭勾搭了。	-1	1	玩家：我靠，张飞妹纸居然好这一口，没想到你口味这么重。							
158	1	-1	1	玩家：孔明，现在什么情况？庞统先生有好些了没。	-7	2	张飞：哇咔咔，太帅了，连昏迷都这么帅。	-9	2	孔明：庞统现在气息非常微弱，我们还是抓紧带他出现治疗才行。													
